ID	Autore	Anno	Titolo	Completamento del titolo	Città, editore o rivista	Pagine	Tipologia	Istituto	Fondo	Segnatura
B_1	Agosti, G. (Ed.)	2008	Altri quaranta dipinti antichi della Collezione Saibene		Verona, Valdonega		monografia			
B_2	Anderson, J.	1996	The political power of connoisseurship in nineteenth-century Europe: Wilhelm von Bode versus Giovanni Morelli	"in ""Kennerschaft. Kolloquium zum 150sten Geburtstag von Wilhelm von Bode"", «Jahrbuch der Berliner Museen» N.F., 38"	Berlino, Mann	pp. 107-119	articolo di periodico			
B_3	Antonetto, R., Cottino, A.	1999	Pietro Accorsi: un antiquario, un'epoca		Torino, Omega Arte		monografia			
B_4	Avvisati, C.	2016	Il tesoro di Boscoreale e lo scandalo della vendita all'estero: i gioielli, gli argenti e gli aurei del 1. secolo d.C. trovati da Vincenzo de Prisco nella villa detta la Pisanella		Tricase, Youcanprint		monografia			
B_5	Bacchi, A., Capitelli, G. (Ed.)	2020	Capitale e crocevia. Il mercato dell'arte nella Roma sabauda (1870-1915)		Bologna, Fondazione Federico Zeri, Cinisello Balsamo, Silvana Editoriale		monografia			
B_6	Bacchi, A., Capitelli, G. (Ed.)	2010	Godefroy Brauer, antiquario e collezionista a Parigi, all’origine della collezione di maioliche arcaiche del Louvre all’inizio del XX secolo		in Riccetti	pp. 209-216	articolo di monografia			
B_7	Barbero, L. M.	2021	Lo specchio del gusto. Vittorio Cini e il collezionismo d'arte antica nel Novecento	atti della giornata di studio in onore di Vittorio Cini (1885-1977), Venezia, Fondazione Giorgio Cini (14 novembre 2017)	Venezia, Marsilio		monografia			
B_8	Bargellini, S.	1981	Antiquari di ieri a Firenze		Firenze, Bonechi		monografia			
B_9	Barsanti, A., Pollak, L.	1922	Raccolta Alfredo Barsanti. Bronzi italiani (Trecento - Settecento)		Roma, Istituto italiano d’arti grafiche		monografia			
B_10	Bartoli Amici, P.	2004	Jandolo, Augusto		in Dizionario biografico degli italiani, 62		articolo di monografia			
B_11	Batini, G.	1961	L'antiquario		Firenze, Vallecchi		monografia			
B_12	Bellania, S.	2015	Duse e Novelli nelle Glosse Zum Wiener Theater (1903-196) di Herman Bahr		in «Acting Archives Review», V, 10	pp. 68-84	articolo di periodico			
B_13	Bellini, L.	1924	Tolentino		in «L'Antiquario», 1924	pp. 139-141	articolo di periodico			
B_14	Bellini, L., De Chirico, G.	1947	Nel mondo degli antiquari		Firenze, Arnaud		monografia			
B_15	Bertelli, B.	2011-2012	Commercio antiquario a Firenze nel primo trentennio dopo l’Unità d’Italia: protagonisti, transazioni e circolazione delle opere d’arte		tesi di Dottorato, Università degli Studi di Udine		monografia			
B_15_2	Bianchin R.	1987	Asta Ca’ Sagredo 1987		in «La Repubblica», 29 novembre 1987		articolo di periodico			
B_16	Boccardo, P.	2001	Costantino Nigro, antiquario e mecenate, e i suoi rapporti con Roberto Longhi, Caterina Marcenaro e Angelo Costa		in Orlando	pp. 80-91	articolo di monografia			
B_17	Bode, W.	1923	Stefano Bardini		in «L'Antiquario», X, 1-2	pp. 1-2	articolo di periodico			
