ID	Nome	Cognome / Denominazione	Tipologia	ID Antiquari	Nome Antiquari
C_1		Alinari	fotografo	VO_I PO_III	Volpi Pollak
C_2		Anderson	fotografo	PA_II	Paolini
C_3	Leopoldo	Aretini	antiquario
C_4	Wart	Arslan	storico dell'arte	ST_NEW	Steffanoni
C_5		Arte Fotografica	fotografo	DI	Di castro
C_6	Valentina	Barbareschi	restauratrice
C_6_b	Luigi	Battistelli	impresario di casa d'aste	GE_II	Geri
C_6_c	Luca	Beltrami	architetto	GR_II	Grandi
C_7	Bernard	Berenson	storico dell'arte	AL CO_I RO ST_NEW VO_I FO CO_IV	Albrighi Contini-Bonacossi Romano Steffanoni Volpi Foresti Colnaghi
C_8		Boccardi	fotografo
C_9	Ferdinando	Bologna	storico dell'arte	SE_II	Sestieri
C_10_1		Braun & C.ie	fotografo	LA_II	Lazzaroni
C_10_2		Giraudon	fotografo	LA_II	Lazzaroni
C_10_3		Bernès, Marouteau & C.ie	fotografo	LA_II	Lazzaroni
C_11	Giuliano	Briganti	storico dell'arte	AN-EF AP GR_II PA_III GI_I	Antonacci-Efrati Apolloni Grandi Studio d'Arte Palma Gianetti
C_12		Brogi	fotografo	VO_I	Volpi
C_13	Paul	Cassirer	antiquario	ST_NEW	Steffanoni
C_14	Raffaello	Causa	storico dell'arte	SE_II	Sestieri
C_14_b	Maurizio	Calvesi	storico dell'arte	SE_II	Sestieri
C_15	Luigi	Cavenaghi	restauratore	SA_V	Sabatello
C_16	Pico	Cellini	restauratore	DI	Di Castro
C_16_b	Hermann	Corrodi	pittore	SE_II	Sestieri
C_17	Egisto	De Masi	antiquario	RU	Rubinacci
C_18	Antonio	De Mata	restauratore	DI	Di Castro
C_18_b	Seymour 	De Ricci	storico dell'arte	TO	Tolentino
C_19		Duveen Brothers	antiquario	BR_III	Brass
C_20	Robert Langton	Douglas	storico dell'arte	BE_II CO_I FO	Bellesi Contini Bonacossi Foresti
C_21	Alvaro	Esposti	restauratore	SE_II	Sestieri
C_22	Antonio	Faccioli	capo-restauratore e direttore laboratori della sede succursale	SE_II	Sestieri
C_23	Italo	Faldi	storico dell'arte
C_24	Cesare	Faraglia	fotografo	BA_III PO_III	Barsanti Pollak
C_25	Giuseppe	Fiocco	storico dell'arte	CO_I ST_NEW BR_III	Contini Bonacossi Steffanoni Brass
