ID	Didascalia
AC_img1.jpg	Pietro Accorsi
AC_img2.jpg	Interni di Villa Paola
AC_img3.jpg	Einaudi, Accorsi e Muccio presso la Galleria Accorsi, 5 novembre 1954
AL_img1.jpg	Luigi Albrighi e Bernard Berenson
AN-EF_img1.jpg	Giuseppe Antonacci
AN-EF_img2.jpg	Galleria Antonacci-Efrati, Via del Babuino
AP_img1.jpg	Fabrizio Apolloni, Galleria Apolloni
BA_I_img1.jpg	Benvenuto Bacarelli
BA_II_img1.jpg	Stefano Bardini. Foto del fotografo livornese Bettini.
BA_II_img2.jpg	Stefano Bardini. Illustrazione tratta dalla rivista "L'Antiquario" del 1908.
BA_II_img3.jpg	Lorem Ipsum
BA_III_img1.jpg	Alfredo Barsanti. Foto tratta dalla rivista "L'Antiquario" del 1924
BA_III_img2.jpg	Bottega di Alfredo Barsanti. Via Sistina, 1906-1906
BA_IV_img1.jpg	Giuseppe Baslini, 1870. Fotografia conservata nell'Archivio Poldi Pezzoli.
BA_IV_img2.jpg	Giuseppe Baslini nel 1887
BE_I_img1.jpg	Luigi Bellini
BE_I_img2.jpg	Luigi Bellini. Illustrazione tratta dalla rivista "L'Antiquario" del 1926
BE_I_img3.jpg	Galleria Bellini, 1929
BE_I_img4.jpg	Giuseppe e Mario Bellini alla Biennale del 1967
BO_img1.jpg	Ildebrando Bossi da Genova e il collezionismo del Novecento
BR_I_img1.jpg	Ivan Bruschi, Fondazione Bruschi
CA_II_img1.jpg	Autoritratto di Vincenzo Capobianchi
CA_II_img2.jpg	Lorem Ipsum
CI_img1.jpg	Vincenzo Ciampolini
CO_I_img1.jpg	Alessandro Contini Bonacossi nel 1955
CO_I_img2.jpg	Villa Vittoria, Firenze, secondo piano
CO_I_img3.jpg	Alessandro Contini Bonacossi
CO_II_img1.jpg	Ritratto di Augusto Corvisieri
CO_III_img1.jpg	Emilio Costantini nel suo studio, da Cappellini 2022
CR_img1.jpg	Interno dell'appartamento di Crosa in Palazzo Granello
CR_img2.jpg	Severino Crosa a Palazzo Granello
DI_img1.jpg	Franco Di Castro
DI_img2.jpg	Negozio Di Castro. Via del Babuino 87-88
FE_img1.jpg	Illustrazione di Gioacchino Ferroni, tratta dalla rivista "L'Antiquario" del 1909
FE_img2.jpg	Studio di Gioacchino Ferroni alla morte dell'antiquario, 1909
GA_img1.jpg	Illustrazione di Antonio Galliani, tratta dalla rivista "L'Antiquario" del 1913
GI_img1.jpg	Ubaldo Giugni, foto tratta dalla rivista "L'Antiquario"del novembre 1928
GI_img2.jpg	Lorem Ipsum
GR_img1.jpg	Luigi Grassi, foto tratta dalla rivista "L'Antiquario"del 1924
GR_img2.jpg	Galleria di Luigi Grassi, Palazzo Montagliari
IM_img1.jpg	Galleria di Alexandre Imbert, interni
IM_img2.jpg	Alexandre Imbert
JA_img1.jpg	Augusto Jandolo nel suo studio, 1930
JA_img2.jpg	Augusto Jandolo, foto tratta dalla rivista "L'Antiquario"del 1913
JA_img3.jpg	Ettore Jandolo, foto tratta dalla rivista "L'Antiquario"
JA_img4.jpg	Ugo Jandolo, foto tratta dalla rivista "L'Antiquario"
JA-TA_img1.jpg	Augusto Jandolo nel suo studio, 1930
JA-TA_img2.jpg	Augusto Jandolo, foto tratta dalla rivista "L'Antiquario"del 1913
JA-TA_img3.jpg	Carta intestata della Galleria Tavazzi
LA_I_img1.jpg	Leonardo Lapicirella
LA_I_img2.jpg	Studio Lapicirella, via Rondinelli
LA_I_img3.jpg	Leonardo Lapicirella con Efrati
LA_II_img1.jpg	Michele Lazzaroni
NI_img1.jpg	Lorem Ipsum
NI_img2.jpg	Lorem Ipsum
OR_img1.jpg	Raimondo Orselli, foto tratta dalla rivista "L'Antiquario" del 1929
PA_I_img1.jpg	Lorem Ipsum
PI_img1.jpg	Giovanni Pini, foto tratta dalla rivista "L'Antiquario" del 1925
PI_img2.jpg	Umberto Pini, foto tratta dalla rivista "L'Antiquario" del 1926
PO_I_img1.jpg	Publio Podio, foto tratta dalla rivista "L'Antiquario" del 1913
PO_I_img2.jpg	Antiquari Podio, studio bolognese
RA_img1.jpg	Arturo Rambaldi, foto tratta dalla rivista "L'Antiquario" del 1913
RO_img1.jpg	Salvatore Romano, illustrazione tratta dalla rivista "L'Antiquario" del 1932
RO_img2.jpg	Salvatore Romano e Carmine Ciardello. Foto tratta dal catalogo Pandolfini.
RO_img3.jpg	Francesco Romano. Foto tratta dal catalogo Pandolfini.
RO_img4.jpg	Galleria Romano, palazzo Magnani Feroni
RU_img1.jpg	Orlando Grosso, Antonio Morassi e Pompeo Rubinacci
RU_img2.jpg	La Galleria Rubinacci nel 1960 ca
RU_img3.jpg	La Galleria Rubinacci nel 1960 ca
SA_I_img1.jpg	Giovanni Salocchi
SA_I_img2.jpg	Giovanni Salocchi e la sua famiglia
SA_II_img1.jpg	Salvadore Salvadori
SA_II_img2.jpg	Lorem Ipsum
SA_III_img1.jpg	Giulio Sambon
SA_IV_img1.jpg	Giuseppe Sangiorgi
SA_IV_img2.jpg	Giuseppe Sangiorgi, foto tratta dalla rivista "L'Antiquario" del 1925
SA_IV_img3.jpg	Galleria Sangiorgi, palazzo Borghese
SA_IV_img4.jpg	Galleria Sangiorgi, palazzo Borghese, sala dei libri e autografi
SA_IV_img5.jpg	Lorem Ipsum
SE_I_img.jpg	Galleria Segre, Piazza di Spagna
SE_II_img1.jpg	Ritratto di Pellegrino Sestieri, olio su tela. Collezione Sestieri
SE_II_img2.jpg	Guido Guidi davanti al negozio Sestieri, Via Margutta 53
SE_II_img3.jpg	Carlo Sestieri
SI_img1.jpg	Attilio Simonetti
SI_img2.jpg	Studio di Attilio Simonetti, Palazzo Altemps
TA_img1.jpg	Carta intestata della Galleria Tavazzi
TO_img1.jpg	Raul Tolentino, foto tratta dalla rivista "L'Antiquario" del 1924
TO_img2.jpg	Raul Tolentino, foto tratta dalla rivista "American Art News" del 1920
TO_img3.jpg	Lorem Ipsum
VI_I_img1.jpg	Ettore Viancini
VI_III_img1.jpg	Edoardo Villa, foto tratta dalla rivista "L'Antiquario" del 1925
VO_I_img1.jpg	Elia Volpi nel 1910
VO_I_img2.jpg	Elia Volpi, foto tratta dalla rivista "L'Antiquario" del 1916
VO_I_img3.jpg	Lorem Ipsum
VO_II_img1.jpg	Giuseppe Volterra
VO_II_img2.jpg	Gualtiero Volterra studia con Felice Boghen
