ID_entit�,ID_persona_1,ID_persona_2,tipologia,
AN-EF,AN-EF_1,AN-EF_2,padre,
AN-EF,AN-EF_2,AN-EF_3,madre,
AN-EF,AN-EF_2,AN-EF_4,nonna,
AN-EF,AN-EF_2,AN-EF_5,nonna,
AN-EF,AN-EF_3,AN-EF_4,padre,
AN-EF,AN-EF_3,AN-EF_5,padre,
AN-EF,AN-EF_4,AN-EF_5,fratello/sorella,
AN-EF,AN-EF_5,AN-EF_4,fratello/sorella,
AP,AP_1,AP_2,padre,
AP,AP_2,AP_3,padre,
AP,AP_1,AP_3,nonno,
BA_I,Ba_I_1,Ba_I_2,padre,
BA_I,Ba_I_2,Ba_I_3,padre,
BA_I,Ba_I_1,Ba_I_3,nonno,
BA_II,Ba_II_1,Ba_II_2,padre,
BA_II,Ba_II_1,Ba_II_3,padre,
BA_II,Ba_II_2,Ba_II_3,fratello/sorella,
BE_I,BE_I_1,BE_I_2,padre,
BE_I,BE_I_2,BE_I_3,padre,
BE_I,BE_I_2,BE_I_4,padre,
BE_I,BE_I_1,BE_I_3,nonno,
BE_I,BE_I_1,BE_I_4,nonno,
BE_I,BE_I_3,BE_I_4,fratello/sorella,
BE_I,BE_I_3,BE_I_5,padre,
BE_I,BE_I_4,BE_I_5,zio,
BR_I,BR_I_1,BR_II_1,fratello/sorella,
BR_II,BR_II_1,BR_I_1,fratello/sorella,
BR_II,BR_II_1,BR_II_2,coniuge,
BR_II,BR_II_3,BR_II_2,nuora,
BR_II,BR_II_3,BR_II_1,nuora,
CA_I,CA_I_1,CA_I_2,fratello/sorella,
CA_I,CA_I_2,CA_I_3,fratello/sorella,
CA_I,CA_I_1,CA_I_3,fratello/sorella,
CO_III,CO_III_1,Co_III_2,padre,
CO_III,CO_III_1,GR_1,zio,
DI,DI_1,DI_2,padre,
DI,DI_2,DI_3,padre,
DI,DI_1,DI_3,nonno,
DI,DI_3,DI_4,padre,
DI,DI_3,DI_??,fratello/sorella,i numeri sono progressivi per antichit�?
DI,DI_1,DI_4,bisnonno,
DI,DI_4,DI_5,padre,
DI,DI_4,DI_6,padre,
DI,DI_3,DI_5,nonno,
DI,DI_3,DI_6,nonno,
DI,DI_2,DI_5,bisnonno,
DI,DI_2,DI_6,bisnonno,
FR,FR_1,FR_2,padre,
FR,FR_1,SA_I_1,genero,
GR,GR_1,GR_2,padre,
GR,GR_1,Co_III_1,nipote,
GR,GR_2,GR_3,padre,
GR,GR_1,GR_3,nonno,
GR,GR_1,GR_4,fratello/sorella,
GU-BR,GU-BR_1,GU-BR_2,padre,
GU-BR,GU-BR_1,GU-BR_3,padre,
GU-BR,GU-BR_2,GU-BR_3,fratello/sorella,
GU-BR,GU-BR_3,GU-BR_4,padre,
JA,JA_1,JA_2,padre,
JA,JA_1,JA_3,padre,
JA,JA_1,JA_4,padre,
JA,JA_2,JA_3,fratello/sorella,
JA,JA_2,JA_4,fratello/sorella,
JA,JA_3,JA_4,fratello/sorella,
JA,JA_3,JA_5,padre,
JA,JA_3,JA_6,padre,
JA,JA_3,JA_7,padre,
JA,JA_5,JA_6,fratello/sorella,
JA,JA_5,JA_7,fratello/sorella,
JA,JA_6,JA_7,fratello/sorella,
JA,JA_1,JA_5,nonno,
JA,JA_1,JA_6,nonno,
JA,JA_1,JA_7,nonno,
JA,JA_2,JA_5,zio,
JA,JA_2,JA_6,zio,
JA,JA_2,JA_7,zio,
JA,JA_4,JA_5,zio,
JA,JA_4,JA_6,zio,
JA,JA_4,JA_7,zio,
TA,TA_1,TA_2,padre,
LA_I,LA_I_1,LA_I_2,padre,
PI,PI_1,PI_2,padre,
PI,PI_1,PI_3,padre,
PI,PI_2,PI_2,fratello/sorella,
PO_I,PO_I_1,PO_I_2,padre,
PO_I,PO_I_1,PO_I_3,padre,
PO_I,PO_I_1,PO_I_4,padre,
PO_I,PO_I_2,PO_I_3,fratello/sorella,
PO_I,PO_I_2,PO_I_4,fratello/sorella,
PO_I,PO_I_3,PO_I_4,fratello/sorella,
RO,RO_1,RO_2,padre,
SA_I,SA_I_1,SA_I_2,padre,
SA_II,SA_II_1,SA_II_2,padre,
SA_II,SA_II_2,SA_II_3,padre,
SA_II,SA_II_1,SA_II_3,nonno,
SA_IV,SA_IV_1,SA_IV_2,padre,
SA_IV,SA_IV_1,SA_IV_3,nonno,
SA_IV,SA_IV_2,SA_IV_3,padre,
SE_I,SE_I_1,SE_I_2,fratello/sorella,
SE_I,SE_I_2,SE_I_1,fratello/sorella,
SE_I,SE_I_2,SE_I_3,padre,
SE_II,SE_II_1,SE_II_2,padre,
SE_II,SE_II_1,SE_II_3,padre,
SE_II,SE_II_2,SE_II_3,fratello/sorella,
SE_II,SE_II_2,SE_II_5,padre,
SE_II,SE_II_2,SE_II_6,padre,PERCH� MANCA SE_II_4??
SE_II,SE_II_5,SE_II_6,fratello/sorella,
SE_II,SE_II_1,SE_II_5,nonno,
SE_II,SE_II_1,SE_II_6,nonno,
SE_II,SE_II_3,SE_II_5,zio,
SE_II,SE_II_3,SE_II_6,zio,
SI,SI_1,SI_2,padre,
SI,SI_1,SI_3,padre,
SI,SI_1,SI_4,padre,
