ID	ID_entità_1	ID_entità_2	ID_entità_Persona_1	ID_entità_Persona_2
R_1	AC	AP	AC_1	AP_2
R_2	AC	SE_II
R_3	AC	CO_III
R_4	AC	ST_NEW
R_5	AP	ZA
R_6	AP	DI
R_7	AP	SE_II
R_8	AP	SA_I
R_9	BA_II	CI	BA_II_1	CI_1
R_10	BA_II	VO_I	BA_II_2	VO_I_1
R_11	BA_II	FE	BA_II_3	FE_1
R_12	BA_II	BE_I
R_13	BA_II	GR
R_14	BA_III	SI	BA_III_1	SI_1
R_15	BR_II	BR_I
R_16	CA_I	SA_III
R_17	CA_II	SI
R_18	CO_I	BE_II	CO_I_1	BE_II
R_19	CO_I	PO_I
R_20	CO_I	VO_II
R_21	CO_II	CA_II
R_22	CO_III	GR
R_23	CO_III	CI
R_24	IM	RA_NEW
R_25	JA	JA-TA
R_26	LA_I	GU-BR
R_27	PA_I	RU
R_28	SA_I	FR
R_29	TA	JA
R_30	TA	JA-TA
R_31	VI_I	AC
R_32	ZA	DI
R_33	ZA	SE_II
R_34	ZA	SA_I
R_35	BR_III	PO_II		
R_36	VE	AL		
R_37	VE	CO_I		
R_38	SA_VI_NEW	GE_II		
R_39	SA_V	SA_II		
R_40	ME	RO		
R_41	ME	VO_II		
R_42	GR_II	SA_IV		
R_43	GR_II	AC		
R_44	GR_II	BA_IV		
R_45	GE_II	CO_II		
R_46	GE_II	JA		
R_47	GE_I	AL		
R_48	GE_I	BR_III		
R_49	GE_I	SA_III		
R_50	FO	CO_I		
R_51	CE	PO_I		
R_52	CA_III	SA_III		
R_53	PO_III	BA_III	PO_III_1	BA_III_1
R_54	PO_III	JA	PO_III_1	JA_5
R_55	PO_III	SI	PO_III_1	SI_1
R_56	PO_III	JA-TA	PO_III_1	JA-TA_4
R_57	PO_III	SA_IV	PO_III_1	SA_IV_1
R_58	AN	AS	AN_1	AS_1
R_59	AN	RA_NEW	AN_1	RA_NEW_1
R_60	AN	BA_II	AN_1	BA_II_1
R_61	AN	ST_NEW	AN_1	ST_NEW_1 ST_NEW_2
R_62	AS	AN	AS_1	AN_1
R_63	BA_V	ST_NEW	BA_V_1	ST_NEW_1
R_64	BA_V	GR_II	BA_V_1	GR_II_1
R_65	BA_V	BR_III	BA_V_1	BR_III_1
R_66	CA_IV	BA_II	CA_IV_1	BA_II_1
R_67	CA_IV	BA_V	CA_IV_1	BA_V_1
R_68	DA	GR	DA_1	GR_1
R_69	GU	BA_II	GU_1	BA_II_1
R_70	LO	SA_IV	LO_1	SA_IV_2
R_71	PA_III	LA_II	PA_III_1	LA_II_1
R_72	PE	PA_III	PE_1	PA_III_1
R_73	PR	LA_I	PR_1	LA_I_1
R_74	PR	BR_I	PR_1	BR_I_1
R_75	PR	AC	PR_1	AC_1
R_76	PR	VI_I	PR_1	VI_I_1
R_77	PR	DI	PR_1	DI_4
R_78	RA_NEW	IM	RA_NEW_1	IM_1
R_79	RA_NEW	AN	RA_NEW_1	AN_1
R_80	RA_NEW	GU	RA_NEW_1	GU_1
R_81	RI_I	GU	RI_I_1 RI_I_2 RI_I_3	GU_1
R_82	RI_I	BA_V	RI_I_1 RI_I_2 RI_I_3	BA_V_1
R_83	SA_VI_NEW	BA_V	SA_VI_NEW_1	BA_V_1
R_84	SA_VI_NEW	CA_IV	SA_VI_NEW_1	CA_IV_1
R_85	SA_VI_NEW	PO_III	SA_VI_NEW_1	PO_III_1
R_86	ST_NEW	SA_VI_NEW	ST_NEW_1 ST_NEW_2 ST_NEW_3	SA_VI_NEW_1
R_87	ST_NEW	CA_IV	ST_NEW_1 ST_NEW_2 ST_NEW_3	CA_IV_1
R_88	ST_NEW	BA_V	ST_NEW_1 ST_NEW_2 ST_NEW_3	BA_V_1
